"loan_id","customer_id","funded_amount","term_months","int_rate","fico_score","dti","purpose","home_ownership","issue_date","risk_tier","loan_status"
"LN100000","CUST210477",10000,36,"18.20",679,"0.29","Credit Card Refinance","RENT","2024-07-24","Medium Risk","Fully Paid"
"LN100001","CUST201825",50000,36,"15.07",740,"0.48","Home Improvement","OWN","2024-01-16","Low Risk","Fully Paid"
"LN100002","CUST200410",20000,36,"16.50",711,"0.11","Debt Consolidation","RENT","2024-04-14","Medium Risk","Fully Paid"
"LN100003","CUST212150",15000,60,"17.23",639,"0.32","Credit Card Refinance","OWN","2025-04-18","High Risk","Fully Paid"
"LN100004","CUST204507",5000,36,"13.09",769,"0.19","Debt Consolidation","MORTGAGE","2024-09-30","Low Risk","Fully Paid"
"LN100005","CUST204013",5000,36,"18.85",603,"0.35","Debt Consolidation","MORTGAGE","2023-12-08","High Risk","Fully Paid"
"LN100006","CUST203658",5000,36,"13.06",693,"0.07","Debt Consolidation","RENT","2025-12-02","Medium Risk","Fully Paid"
"LN100007","CUST202287",35000,36,"15.67",638,"0.34","Debt Consolidation","MORTGAGE","2023-05-17","High Risk","Fully Paid"
"LN100008","CUST212067",20000,36,"17.09",605,"0.53","Debt Consolidation","RENT","2024-04-19","High Risk","Default"
"LN100009","CUST201680",20000,36,"14.85",623,"0.23","Debt Consolidation","MORTGAGE","2023-07-08","High Risk","Fully Paid"
"LN100010","CUST211088",5000,60,"16.53",677,"0.12","Debt Consolidation","RENT","2023-04-17","Medium Risk","Default"
"LN100011","CUST212136",50000,36,"16.97",697,"0.38","Credit Card Refinance","RENT","2023-12-27","Medium Risk","Fully Paid"
"LN100012","CUST214618",35000,36,"11.64",732,"0.26","Credit Card Refinance","RENT","2024-08-13","Low Risk","Fully Paid"
"LN100013","CUST208936",10000,36,"13.05",753,"0.41","Credit Card Refinance","RENT","2025-08-21","Low Risk","Fully Paid"
"LN100014","CUST201425",5000,36,"14.92",693,"0.43","Debt Consolidation","MORTGAGE","2025-05-16","Medium Risk","Fully Paid"
"LN100015","CUST209675",5000,36,"16.56",657,"0.42","Credit Card Refinance","RENT","2023-12-10","High Risk","Fully Paid"
"LN100016","CUST206913",10000,60,"15.51",731,"0.30","Small Business","RENT","2024-04-28","Low Risk","Fully Paid"
"LN100017","CUST200521",15000,36,"15.86",649,"0.52","Debt Consolidation","RENT","2023-02-05","High Risk","Default"
"LN100018","CUST200489",15000,60,"18.91",600,"0.40","Debt Consolidation","MORTGAGE","2024-02-05","High Risk","Fully Paid"
"LN100019","CUST201536",10000,60,"14.48",726,"0.21","Small Business","MORTGAGE","2023-06-07","Low Risk","Fully Paid"
"LN100020","CUST203583",20000,36,"12.95",746,"0.22","Credit Card Refinance","RENT","2023-05-18","Low Risk","Fully Paid"
"LN100021","CUST203812",5000,36,"16.90",638,"0.46","Debt Consolidation","OWN","2023-07-27","High Risk","Fully Paid"
"LN100022","CUST208280",10000,36,"11.16",778,"0.38","Debt Consolidation","OWN","2024-07-05","Low Risk","Fully Paid"
"LN100023","CUST209864",10000,36,"14.39",709,"0.21","Credit Card Refinance","RENT","2024-01-02","Medium Risk","Fully Paid"
"LN100024","CUST200435",15000,36,"14.71",701,"0.26","Home Improvement","MORTGAGE","2025-12-29","Medium Risk","Fully Paid"
"LN100025","CUST209196",35000,36,"15.24",654,"0.29","Small Business","RENT","2023-09-12","High Risk","Fully Paid"
"LN100026","CUST203258",5000,36,"18.05",730,"0.40","Credit Card Refinance","MORTGAGE","2025-08-05","Low Risk","Fully Paid"
"LN100027","CUST211732",15000,60,"19.38",603,"0.27","Home Improvement","RENT","2025-01-25","High Risk","Fully Paid"
"LN100028","CUST210648",15000,36,"16.22",663,"0.46","Debt Consolidation","RENT","2024-01-02","Medium Risk","Fully Paid"
"LN100029","CUST211491",5000,36,"17.07",643,"0.34","Credit Card Refinance","RENT","2023-11-09","High Risk","Default"
"LN100030","CUST208929",20000,36,"17.93",614,"0.46","Home Improvement","MORTGAGE","2025-12-28","High Risk","Fully Paid"
"LN100031","CUST206874",5000,36,"15.36",723,"0.16","Major Purchase","RENT","2024-01-18","Low Risk","Fully Paid"
"LN100032","CUST203612",5000,36,"17.42",697,"0.48","Home Improvement","RENT","2024-05-18","Medium Risk","Fully Paid"
"LN100033","CUST207360",50000,60,"15.89",720,"0.44","Small Business","RENT","2023-01-18","Low Risk","Fully Paid"
"LN100034","CUST209655",50000,60,"12.87",666,"0.31","Small Business","MORTGAGE","2024-10-28","Medium Risk","Default"
